Waybill,Client Name,client_location,Order #,Order Date,Pickup date,Client Pickup date,Payment Type,Current Status,Dispatch Center,Status_Type,Dispatch Count,Attempt Count,Invoice zone,Amount,COD Amount,Destination city,Destination State,Destination Pin,In Center,Last NSL,Last Scan Location,Last scan remarks,address invalid,Delivered date,Promise Date,Expected Date,First Pending Date,First Dispatch Date,Last Dispatch Date,Manifested Date,Last Scan Date
8445110166950,RAPPIDX SURFACE,Ignis Traders,RPDX0026248,08/10/2021,08/10/2021,08/10/2021,COD,RTO,Siliguri_Ashram_DC (West Bengal),Delivered,1,1,D1,799,799,Siliguri,West Bengal,734003,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,10/11/2021,13/10/2021,14/10/2021,20/10/2021,29/10/2021,10/11/2021,08/10/2021,10/11/2021
8445110172793,RAPPIDX SURFACE,Ignis Traders,RPDX0027475,12/10/2021,12/10/2021,12/10/2021,COD,RTO,Ujjain (Madhya Pradesh),Delivered,3,3,D1,799,799,Ujjain,Madhya Pradesh,456006,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,10/11/2021,16/10/2021,16/10/2021,17/10/2021,18/10/2021,10/11/2021,12/10/2021,10/11/2021
8445110177365,RAPPIDX SURFACE,Balaji Enterprises,RPDX0028050,13/10/2021,13/10/2021,13/10/2021,COD,RTO,Shillong_Pynthorbah_D (Meghalaya),Delivered,1,1,E,998,998,Shillong,Meghalaya,793002,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,09/11/2021,20/10/2021,20/10/2021,19/10/2021,19/10/2021,09/11/2021,13/10/2021,09/11/2021
8445110177306,RAPPIDX SURFACE,Balaji Enterprises,RPDX0028044,13/10/2021,13/10/2021,13/10/2021,COD,RTO,Agartala_Dhaleswr_D (Tripura),Delivered,0,,E,1399,1399,Agartala,Tripura,799001,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,09/11/2021,21/10/2021,21/10/2021,26/10/2021,,09/11/2021,13/10/2021,09/11/2021
8445110171942,RAPPIDX SURFACE,Vishal Traders,RPDX0027390,12/10/2021,13/10/2021,13/10/2021,COD,RTO,Parippally_Chvarcode_D (Kerala),Delivered,2,2,D2,1399,1399,Parippally,Kerala,695605,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,09/11/2021,19/10/2021,19/10/2021,26/10/2021,26/10/2021,09/11/2021,12/10/2021,09/11/2021
8445110191575,RAPPIDX SURFACE,KD Enterprises,RPDX0030518,27/10/2021,28/10/2021,28/10/2021,COD,RTO,Lucknow_NarpatKheraP_D (Uttar Pradesh),Delivered,3,3,D1,1399,1399,Lucknow,Uttar Pradesh,226023,Noida_Sector63DBlock_C (Uttar Pradesh),RD-AC,Noida_Sector59_R (Uttar Pradesh),RETURN Accepted,TRUE,10/11/2021,01/11/2021,01/11/2021,31/10/2021,31/10/2021,10/11/2021,27/10/2021,10/11/2021
8445110186480,RAPPIDX SURFACE,Balaji Enterprises,RPDX0029169,14/10/2021,14/10/2021,14/10/2021,COD,RTO,Jajpur_KniprDPP_D (Orissa),Delivered,3,3,D2,1699,1699,Jajpur,Orissa,755019,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,09/11/2021,19/10/2021,19/10/2021,18/10/2021,18/10/2021,09/11/2021,14/10/2021,09/11/2021
8445110190676,RAPPIDX SURFACE,Balaji Enterprises,RPDX0030422,22/10/2021,22/10/2021,22/10/2021,COD,RTO,Nirmal_AdarshNgr_D (Telangana),Delivered,1,1,D1,1699,1699,Nirmal,Telangana,504106,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,09/11/2021,27/10/2021,27/10/2021,26/10/2021,26/10/2021,09/11/2021,22/10/2021,09/11/2021
8445110183665,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0028707,14/10/2021,18/10/2021,18/10/2021,COD,RTO,Shimoga_Central_D_2 (Karnataka),Delivered,1,1,D2,1399,1399,Shimoga,Karnataka,577201,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,TRUE,09/11/2021,25/10/2021,25/10/2021,23/10/2021,26/10/2021,09/11/2021,14/10/2021,09/11/2021
8445110179443,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0028254,13/10/2021,15/10/2021,15/10/2021,COD,RTO,Hosur_BypassrRD_D (Tamil Nadu),Delivered,2,2,D2,1399,1399,Hosur,Tamil Nadu,635114,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,FALSE,09/11/2021,21/10/2021,21/10/2021,26/10/2021,26/10/2021,09/11/2021,13/10/2021,09/11/2021
8445110184181,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0028759,14/10/2021,18/10/2021,18/10/2021,COD,RTO,Silchar_Meherpur_D (Assam),Delivered,1,1,E,1399,1399,Silchar,Assam,788007,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,FALSE,09/11/2021,24/10/2021,24/10/2021,23/10/2021,23/10/2021,09/11/2021,14/10/2021,09/11/2021
