Waybill,Client Name,client_location,Order #,Order Date,Pickup date,Client Pickup date,Payment Type,Current Status,Dispatch Center,Status_Type,Dispatch Count,Attempt Count,Invoice zone,Amount,COD Amount,Destination city,Destination State,Destination Pin,In Center,Last NSL,Last Scan Location,Last scan remarks,address invalid,Delivered date,Promise Date,Expected Date,First Pending Date,First Dispatch Date,Last Dispatch Date,Manifested Date,Last Scan Date
8445110091442,RAPPIDX SURFACE,Ignis Traders,RPDX0012404,14/09/2021,15/09/2021,15/09/2021,COD,RTO,Raichur_LSRoad_DC (Karnataka),Delivered,4,4,D2,649,649,Raichur,Karnataka,584101,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,01/10/2021,20/09/2021,21/09/2021,20/09/2021,20/09/2021,01/10/2021,14/09/2021,01/10/2021
8445110118624,RAPPIDX SURFACE,Ignis Traders 2,RPDX0016228,22/09/2021,22/09/2021,22/09/2021,COD,RTO,Tuni_Eaglvari_D (Andhra Pradesh),Delivered,1,1,D2,1399,1399,Tuni,Andhra Pradesh,533407,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,01/10/2021,27/09/2021,28/09/2021,26/09/2021,26/09/2021,01/10/2021,22/09/2021,01/10/2021
8445110083182,RAPPIDX SURFACE,Ignis Traders,RPDX0011578,14/09/2021,14/09/2021,14/09/2021,COD,RTO,Mumbai_JogeshwriWest_D (Maharashtra),Delivered,1,1,C2,649,649,Mumbai,Maharashtra,400047,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,01/10/2021,20/09/2021,21/09/2021,20/09/2021,20/09/2021,01/10/2021,14/09/2021,01/10/2021
8445110067874,RAPPIDX SURFACE,Ignis Traders,RPDX009849,12/09/2021,14/09/2021,14/09/2021,COD,RTO,Barasat_KrshnNgr_D (West Bengal),Delivered,2,2,D2,649,649,Barasat,West Bengal,700125,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,01/10/2021,18/09/2021,20/09/2021,18/09/2021,18/09/2021,01/10/2021,12/09/2021,01/10/2021
8445110088664,RAPPIDX SURFACE,Ignis Traders,RPDX0012126,14/09/2021,14/09/2021,14/09/2021,COD,RTO,Pune_Dhanori_ODC_2 (Maharashtra),Delivered,4,4,C2,649,649,Pune,Maharashtra,411006,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,01/10/2021,21/09/2021,18/09/2021,18/09/2021,18/09/2021,01/10/2021,14/09/2021,01/10/2021
8445110068611,RAPPIDX SURFACE,Ignis Traders,RPDX009923,12/09/2021,14/09/2021,14/09/2021,COD,RTO,Agartala_Dhaleswr_D (Tripura),Delivered,1,1,E,649,649,Agartala,Tripura,799003,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,01/10/2021,20/09/2021,21/09/2021,20/09/2021,20/09/2021,01/10/2021,12/09/2021,01/10/2021
8445110133276,RAPPIDX SURFACE,Ignis Traders 2,RPDX0019628,27/09/2021,27/09/2021,27/09/2021,COD,RTO,Morena_ViharClny_D (Madhya Pradesh),Delivered,1,1,B,1399,1399,Morena,Madhya Pradesh,476001,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,TRUE,05/10/2021,30/09/2021,01/10/2021,29/09/2021,29/09/2021,05/10/2021,27/09/2021,05/10/2021
8445110109200,RAPPIDX SURFACE,Renu Enterprises,RPDX0014953,20/09/2021,20/09/2021,20/09/2021,COD,RTO,Lucknow_VinmrKhnd_D (Uttar Pradesh),Delivered,3,3,D1,1698,1698,Lucknow,Uttar Pradesh,226028,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,FALSE,01/10/2021,24/09/2021,24/09/2021,23/09/2021,23/09/2021,01/10/2021,20/09/2021,01/10/2021
8445110084884,RAPPIDX SURFACE,Ignis Traders,RPDX0011748,14/09/2021,14/09/2021,14/09/2021,COD,RTO,Pollachi_Lakshimipuram_D (Tamil Nadu),Delivered,1,1,D2,649,649,Pollachi,Tamil Nadu,641015,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,05/10/2021,20/09/2021,21/09/2021,19/09/2021,25/09/2021,05/10/2021,14/09/2021,05/10/2021
8445110109093,RAPPIDX SURFACE,Renu Enterprises,RPDX0014942,20/09/2021,20/09/2021,20/09/2021,COD,RTO,Mumbai_GhansliSec5_D (Maharashtra),Delivered,1,1,D2,1698,1698,Navi mumbai,Maharashtra,400701,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,FALSE,01/10/2021,24/09/2021,24/09/2021,24/09/2021,24/09/2021,01/10/2021,20/09/2021,01/10/2021
